,N,accuracy,combiner,convergence_decimals,epoch_count,experiment,experiment_hash,experiment_id,gradient_step_count,iteration_count,k,measured_time,mini_batch_size,model,n,pid,seed_challenge,seed_distance,seed_instance,seed_model,shuffle,transformation
0,1500,0.9828,xor,4,10000,ExperimentLogisticRegression,e6d0e0822f5eba79afa44e574638e9d3bed14011e2f0c5f6ba3dfb2bcdcd5e3d,d0fb0427-2924-4653-8a8b-cf1a7d794e84,10000,10000,1,9.828027725219727,1500,"[ 2.15165706e-01 -8.00640318e-02 -7.03254396e-02 -1.48858558e-01
  1.12572640e-01 -3.01364775e-01  2.52521420e-01 -1.06978596e-01
  4.09541453e-02 -5.16286835e-02  2.01678812e-01 -2.69893815e-01
 -4.45682338e-02 -4.91331822e-02  1.53229069e-01 -1.60238314e-01
 -1.52414890e-02 -1.20141175e-01  2.00288414e-04  7.83167082e-02
 -1.39398309e-01  1.62999776e-01  1.23756708e-01  8.20710943e-02
  1.22653912e-01 -9.53725758e-02 -1.02620356e-02 -1.21607334e-01
 -3.98831593e-02  7.62497571e-02 -8.96309745e-02 -4.30770936e-02
 -9.41859761e-02 -1.28152837e-01 -8.11364727e-02  7.71807124e-04
 -1.62756567e-01  3.59338968e-02  2.23618227e-01  9.94050903e-02
 -2.40699124e-02 -1.29662561e-01 -9.24045976e-02  2.38521531e-01
  1.33917793e-02 -7.92295191e-02  2.22088304e-02  2.81334657e-01
  1.47522713e-02  9.26656758e-02  3.58132525e-02 -4.90660229e-02
 -1.43951146e-01 -5.93093010e-02 -2.16875759e-02  8.02858302e-02
  1.13540821e-01  1.38093770e-01  4.45622650e-02  1.15324155e-01
 -1.11579243e-01  1.64204328e-01  6.80851720e-02 -3.83635970e-02
  2.03780348e-03]",64,18999,2,4,1,3,False,atf
0,1000,0.9717,xor,4,10000,ExperimentLogisticRegression,8eaac908d02a7fa1af4dbaf598a64031d539133fc0af3bc1582f82125dc98039,805148d5-758a-4395-9e19-008a3f966180,10000,10000,1,9.238430500030518,1000,"[ 0.20424476 -0.0715498  -0.08448968 -0.12252704  0.11388753 -0.32361792
  0.22438341 -0.11150833  0.04615769 -0.02631207  0.19117082 -0.29701212
 -0.03963093 -0.05488312  0.13810541 -0.16171899 -0.01104351 -0.11185697
 -0.00168841  0.05098519 -0.13165219  0.16203943  0.13450642  0.06645429
  0.12194915 -0.09634806 -0.01297891 -0.12385503 -0.02530344  0.07280032
 -0.07635134 -0.05154136 -0.08575244 -0.12470842 -0.09564134  0.00531076
 -0.13827095  0.03131382  0.23215606  0.10295772 -0.04467477 -0.1195837
 -0.10954511  0.23969532  0.01465756 -0.09277336  0.01841537  0.29502155
  0.01327197  0.09645258  0.03710985 -0.03356575 -0.15696803 -0.04752274
 -0.02077276  0.07908078  0.11036928  0.12681294  0.04708567  0.13012921
 -0.09617923  0.17221349  0.07408677 -0.0380134  -0.01638187]",64,18997,2,4,1,3,False,aes_substitution
0,1500,0.9825,xor,4,10000,ExperimentLogisticRegression,b350a3148802ef3971adb5ced5f6db0530e222ae9b44dac80af1c71dae0dfc35,e5b4e7e8-ba12-485d-bf78-97ebc615b224,10000,10000,1,9.606226205825806,1500,"[ 0.22997057 -0.08594478 -0.08020072 -0.14459431  0.12998652 -0.31865706
  0.22894766 -0.10409132  0.03734363 -0.03235011  0.20601878 -0.27471065
 -0.04674572 -0.05525692  0.14991028 -0.14940331 -0.01636258 -0.10574881
  0.00354759  0.0802254  -0.14683148  0.16220918  0.12747576  0.05980301
  0.11555528 -0.09776873 -0.0258696  -0.1155433  -0.03503946  0.07917264
 -0.08551652 -0.06792734 -0.103687   -0.10941858 -0.08772528 -0.00571775
 -0.15974532  0.03173209  0.2235877   0.10589155 -0.03693744 -0.11265472
 -0.0894672   0.22410442  0.01447108 -0.09088178  0.03084583  0.28699228
  0.00629909  0.08246782  0.0487058  -0.03765396 -0.15594772 -0.05014523
 -0.03086062  0.07436233  0.12136631  0.13057537  0.04462261  0.11164547
 -0.11516861  0.16021292  0.06996936 -0.04575025  0.00290935]",64,19003,2,4,1,3,False,lightweight_secure
0,1500,0.9802,xor,4,10000,ExperimentLogisticRegression,631384d1d9fba216af32105fe17080dd5faa5dd6837b32f35d82d00c85325f2a,cf2068a3-b910-4186-b088-b830c0f26a9d,10000,10000,1,10.381398916244507,1500,"[ 0.22354739 -0.08000012 -0.06175981 -0.1454828   0.11454392 -0.30818784
  0.24820202 -0.11179632  0.03933089 -0.03249199  0.19671066 -0.28820517
 -0.04385946 -0.0427941   0.15627768 -0.16439067 -0.02315653 -0.12150248
 -0.00177647  0.06962317 -0.14548276  0.15404215  0.13065842  0.05227566
  0.14165927 -0.09674005 -0.02285315 -0.12651632 -0.03737224  0.07159279
 -0.09313994 -0.05076067 -0.09490895 -0.1161003  -0.10131244 -0.00223164
 -0.156936    0.04354312  0.22406685  0.09486992 -0.02269586 -0.11651016
 -0.09519126  0.23377724  0.00891192 -0.08758937  0.01752552  0.27203192
  0.00769428  0.07623212  0.03385958 -0.05561356 -0.1530044  -0.04609824
 -0.03580261  0.0789782   0.11133629  0.11122762  0.03878208  0.12748099
 -0.11065518  0.15648729  0.07769318 -0.03836378  0.0052199 ]",64,18999,2,4,1,3,False,random
0,2000,0.9858,xor,4,10000,ExperimentLogisticRegression,5ead9ecee0a5c6c454e8c3f6468f371d9fc3194274f64b939765a08bfbee59b4,3d13db17-0b19-4d58-b043-219c49b0f6ef,10000,10000,1,11.706358194351196,2000,"[ 0.2211264  -0.07560176 -0.07159551 -0.15340037  0.12021191 -0.30369472
  0.24406907 -0.10550975  0.04478712 -0.03687712  0.19980226 -0.26950851
 -0.04471418 -0.04933603  0.14992844 -0.15666111 -0.01557626 -0.11948875
 -0.00840399  0.07795449 -0.15383067  0.15575118  0.12138387  0.07666002
  0.12822911 -0.09303306 -0.02196333 -0.12767975 -0.03751531  0.07658975
 -0.10077858 -0.04551282 -0.09197529 -0.12110538 -0.09015498  0.00403444
 -0.15149627  0.03724558  0.21914533  0.10226127 -0.01774535 -0.129822
 -0.09752889  0.23760149  0.01094101 -0.08076469  0.02141573  0.27541129
  0.01786809  0.08883644  0.03224016 -0.0473174  -0.15349187 -0.06113259
 -0.01503182  0.08446863  0.10648287  0.12901128  0.037977    0.12488607
 -0.10933535  0.17421683  0.07850052 -0.03851272 -0.00936851]",64,19003,2,4,1,3,False,atf
0,2000,0.9849,xor,4,10000,ExperimentLogisticRegression,c7be56665078dba9ed83d5851add2f057104be7f0bc22eba8df66d5d81e7c65c,b92646a7-d89c-4eab-86e8-79a24325cf1a,10000,10000,1,12.44859266281128,2000,"[ 0.2299279  -0.08142435 -0.07518722 -0.14394033  0.11280143 -0.31223873
  0.23492101 -0.09092767  0.04890908 -0.03650135  0.20044195 -0.28403328
 -0.04269738 -0.04844519  0.15128551 -0.15188309 -0.02080456 -0.12721451
  0.00592906  0.08008855 -0.15086961  0.14548937  0.12084923  0.07626313
  0.13367349 -0.09306981 -0.0149394  -0.13331267 -0.03517109  0.0748072
 -0.09127582 -0.04904609 -0.09937218 -0.11066936 -0.09485447 -0.01044648
 -0.16095748  0.02348102  0.2238725   0.10063439 -0.02768735 -0.12252008
 -0.09759539  0.22846085  0.00317894 -0.07490696  0.01582928  0.273537
  0.00938939  0.08595803  0.03789507 -0.04614248 -0.16661975 -0.04006963
 -0.01578743  0.07595177  0.12416791  0.12424536  0.04038531  0.11456263
 -0.10409121  0.17462053  0.07115699 -0.04101314 -0.0030934 ]",64,18997,2,4,1,3,False,id
0,1500,0.9785,xor,4,10000,ExperimentLogisticRegression,bd55f251a0d600d10c7f0c04ec2d03637c07b15399dc604c565208d97fa4497a,7e8a505b-8d38-42ff-8941-5b461f8abc56,10000,10000,1,11.230268478393555,1500,"[ 0.2187137  -0.08050443 -0.07596282 -0.12482452  0.11317902 -0.31922222
  0.2371528  -0.10685547  0.03973862 -0.04034209  0.18461184 -0.30116643
 -0.02966677 -0.05946204  0.15178623 -0.15082021 -0.01994801 -0.1114634
  0.00394037  0.05993317 -0.14277119  0.15782714  0.12822688  0.06220129
  0.12410332 -0.09240947 -0.01707578 -0.11793857 -0.03044349  0.07302069
 -0.08278228 -0.05445376 -0.0917685  -0.11743716 -0.09696639 -0.00445004
 -0.14874439  0.03026149  0.22162409  0.09497887 -0.04525114 -0.12982453
 -0.1055548   0.24080209  0.01402797 -0.08122946  0.0195728   0.28323258
  0.02273217  0.09337872  0.03736515 -0.05318666 -0.15687684 -0.04492021
 -0.02495259  0.07371019  0.10902188  0.1120881   0.0376946   0.13725523
 -0.09522199  0.17669034  0.0769269  -0.04516334 -0.01322046]",64,19001,2,4,1,3,False,aes_substitution
0,500,0.9366,xor,4,10000,ExperimentLogisticRegression,08a40d756b42f4436449adf56365026ad390280208350d1f7feb1b60e75846f5,df8185ea-ee2c-464f-9e28-b7387ea978e8,10000,10000,1,6.859786033630371,500,"[-0.05915343 -0.02930625 -0.30583351  0.22465824 -0.17532602 -0.09720749
  0.03150788 -0.19315701 -0.08824266 -0.07567089  0.08693926  0.29159482
 -0.01736404 -0.18682467  0.073105   -0.09848767 -0.04697103  0.09932672
 -0.09256993 -0.00376327 -0.12688702 -0.03515188  0.00280857 -0.10567881
 -0.02626643 -0.00198599 -0.04884338 -0.15907336 -0.18666506 -0.02738382
 -0.0411273   0.27137703 -0.30391004 -0.00401468  0.02344927  0.15306411
  0.06280926 -0.08283371 -0.0011948   0.04089479 -0.0228139   0.10247797
 -0.21679208  0.22132429  0.2395649  -0.0304039   0.09068863 -0.00721694
 -0.07670724 -0.02896554  0.14023075 -0.06718005 -0.05597319 -0.02269784
  0.0933097   0.16768903 -0.06887915  0.03791293  0.06822731 -0.18586798
 -0.08900431 -0.00996093  0.02246293  0.02312337 -0.00792624]",64,19001,3,5,2,4,False,id
0,2000,0.9853,xor,4,10000,ExperimentLogisticRegression,f1e0fd3cdfa8b039bf908131fc601f58a8669151bf48a5b1b40869802f3970d7,2b9fdfc9-b68c-4a46-be2f-d1ab81dba15f,10000,10000,1,13.248130798339844,2000,"[ 0.22351231 -0.08688725 -0.07187081 -0.1460326   0.12534673 -0.31698876
  0.23080678 -0.10657808  0.04094262 -0.03230627  0.20450593 -0.27434136
 -0.04295565 -0.05844613  0.15758443 -0.14911897 -0.02249638 -0.11414006
  0.00048862  0.08068073 -0.15241596  0.17069991  0.12360391  0.06633383
  0.1070071  -0.10064211 -0.0232454  -0.11989183 -0.03981234  0.08315143
 -0.0922252  -0.061121   -0.09703272 -0.10271773 -0.08902958 -0.00282046
 -0.14982757  0.03885467  0.22683078  0.09753592 -0.03142424 -0.1146637
 -0.08791217  0.22407853  0.01230444 -0.09555373  0.02339756  0.28475849
  0.00480395  0.08873117  0.03745559 -0.0416538  -0.1547087  -0.04495865
 -0.0275838   0.07302458  0.11680316  0.13232817  0.04089397  0.11740504
 -0.11186415  0.16861277  0.07477749 -0.04044561  0.00595077]",64,19003,2,4,1,3,False,lightweight_secure
0,2000,0.9834,xor,4,10000,ExperimentLogisticRegression,dd6488108ceebe4b2b13de5c931ce66e3d86da29369c49fbac5152e7a0cac940,4c66200a-7837-465a-805a-3561d30afe2e,10000,10000,1,12.35442852973938,2000,"[ 2.21814993e-01 -7.61957291e-02 -6.57884901e-02 -1.46503453e-01
  1.10655573e-01 -3.07354257e-01  2.42936147e-01 -1.11919314e-01
  4.40550219e-02 -3.73810067e-02  2.00341629e-01 -2.83062442e-01
 -3.75417635e-02 -5.44284617e-02  1.52611094e-01 -1.55595629e-01
 -2.07517355e-02 -1.28048818e-01 -2.71862950e-04  7.62198400e-02
 -1.49269757e-01  1.56212809e-01  1.25250651e-01  5.61752257e-02
  1.32205539e-01 -1.02460662e-01 -2.61372318e-02 -1.28616759e-01
 -3.53212293e-02  7.30036222e-02 -8.88262985e-02 -5.11172827e-02
 -9.61851994e-02 -1.21123670e-01 -9.48814617e-02  2.62464125e-03
 -1.56039195e-01  4.31725435e-02  2.24280812e-01  1.00032182e-01
 -2.83971942e-02 -1.12987583e-01 -9.14981468e-02  2.42994001e-01
  3.38528276e-03 -7.85130416e-02  2.08572679e-02  2.76072045e-01
  1.38631349e-02  8.13759186e-02  3.67249999e-02 -4.90810171e-02
 -1.54520661e-01 -3.96016886e-02 -3.09179610e-02  7.90895602e-02
  1.07350782e-01  1.16763689e-01  3.33769734e-02  1.25493671e-01
 -1.12595144e-01  1.65298626e-01  7.42046896e-02 -3.14156207e-02
  3.97067971e-03]",64,18997,2,4,1,3,False,random
